Date,Description,Amount
2024-01-02,ACME CORP PAYROLL,3200.00
2024-01-03,RENT PAYMENT TO LANDLORD,-1450.00
2024-01-05,WHOLE FOODS MARKET,-92.40
2024-01-06,NETFLIX.COM,-15.99
2024-01-07,SPOTIFY USA,-10.99
2024-01-09,SHELL FUEL,-48.20
2024-01-12,UBER TRIP,-18.75
2024-01-14,STARBUCKS,-6.45
2024-01-18,AMAZON MARKETPLACE,-64.30
2024-01-22,ELECTRIC UTILITY BILL,-110.00
2024-01-25,TRANSFER TO SAVINGS,-400.00
2024-01-28,INTEREST PAYMENT,3.21
2024-02-02,ACME CORP PAYROLL,3200.00
2024-02-03,RENT PAYMENT TO LANDLORD,-1450.00
2024-02-04,COSTCO WHOLESALE,-180.55
2024-02-06,NETFLIX.COM,-15.99
2024-02-07,SPOTIFY USA,-10.99
2024-02-10,DOORDASH ORDER,-34.10
2024-02-13,SHELL FUEL,-51.00
2024-02-19,CVS PHARMACY,-22.80
2024-02-22,ELECTRIC UTILITY BILL,-118.40
2024-02-24,AMAZON MARKETPLACE,-29.99
2024-02-28,INTEREST PAYMENT,3.05
2024-03-02,ACME CORP PAYROLL,3200.00
2024-03-03,RENT PAYMENT TO LANDLORD,-1450.00
2024-03-05,TRADER JOE'S,-76.20
2024-03-06,NETFLIX.COM,-15.99
2024-03-07,SPOTIFY USA,-10.99
2024-03-11,DELTA AIRLINES,-320.00
2024-03-15,UBER EATS,-27.50
2024-03-21,ELECTRIC UTILITY BILL,-104.10
2024-03-26,AMAZON MARKETPLACE,-58.00
2024-03-28,INTEREST PAYMENT,3.40
